date,title,link
2024-11-18,Красота требует жертв! Как увеличить ценность продукта с помощью дизайна,https://habr.com/ru/articles/859024/
2024-11-17,Двусвязный список в Python: простой инструмент для сложных задач,https://habr.com/ru/companies/otus/articles/849482/
2024-11-17,Портируем олдскульную головоломку на web с использованием LLM и Midjourney для бати,https://habr.com/ru/articles/859200/
